adult,budget,id,imdb_id,original_language,original_title,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count,year,profit_margin,genres_list,production_companies_list,genres_count
False,5985,775,tt0000417,fr,Le Voyage dans la Lune,A Trip to The Moon is a science fiction film from the French film pioneer Georges Méliès from the year 1902 about a trip to the moon. The film was the first film with a self-contained plot and was the beginning of the Science Fiction genre.,6.321801,"[{'iso_3166_1': 'FR', 'name': 'France'}]",1902-09-01,0.0,14.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'xx', 'name': 'No Language'}]",Released,A Trip to the Moon,False,7.9,314.0,1902.0,-1.0,"['Adventure', 'Fantasy', 'Science Fiction']",['Star-Film'],3
False,150,5698,tt0000439,en,The Great Train Robbery,"The clerk at the train station is assaulted and left tied by four men, then they rob the train threatening the operator. (They) take all the money and shoot a passenger when trying to run away. A little girl discovers the clerk tied and gives notice to the sheriff, who at once goes along with his men hunting the bandits.",4.248169,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1903-12-01,0.0,12.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,The Great Train Robbery,False,7.1,116.0,1903.0,-1.0,"['Action', 'Adventure', 'Western']",['Edison Manufacturing Company'],3
False,7500,2963,tt0000499,fr,Voyage à travers l'impossible,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",1.529176,"[{'iso_3166_1': 'FR', 'name': 'France'}]",1904-10-01,0.0,20.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,The Impossible Voyage,False,7.1,32.0,1904.0,-1.0,"['Adventure', 'Comedy', 'Fantasy', 'Science Fiction']","['Star-Film', 'Georges Méliès']",4
False,8394751,3059,tt0006864,en,Intolerance: Love's Struggle Throughout the Ages,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",4.282118,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1916-09-04,0.0,197.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,Intolerance: Love's Struggle Throughout the Ages,False,7.4,63.0,1916.0,-1.0,['Drama'],"['Triangle Film Corporation', 'Wark Producing Corp.']",1
False,18000,234,tt0010323,de,Das Cabinet des Dr. Caligari,"The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.",7.191271,"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1920-02-25,0.0,78.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,The Cabinet of Dr. Caligari,False,7.7,279.0,1920.0,-1.0,"['Drama', 'Horror', 'Thriller', 'Crime']",['Decla Film Gesellschaft Holz & Co.'],4
False,250000,10098,tt0012349,en,The Kid,"Considered one of Charlie Chaplin's best films, The Kid also made a star of little Jackie Coogan, who plays a boy cared for by The Tramp when he's abandoned by his mother, Edna. Later, Edna has a change of heart and aches to be reunited with her son. When she finds him and wrests him from The Tramp, it makes for what turns out be one of the most heart-wrenching scenes ever included in a comedy.",8.168455999999999,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1921-01-21,2500000.0,68.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,The Kid,False,8.0,404.0,1921.0,9.0,"['Comedy', 'Drama']","['Charles Chaplin Productions', 'First National Pictures']",2
False,53000,669,tt0013427,en,Nanook of the North,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization.",2.593681,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1922-06-11,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nanook of the North,False,7.2,50.0,1922.0,-1.0,['Documentary'],['Révillon Frères'],1
False,1135654,28963,tt0015400,en,The Thief of Bagdad,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,3.878515,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1924-03-18,1213880.0,149.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,The Thief of Bagdad,False,7.4,37.0,1924.0,0.06888189536601817,"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy']",['Douglas Fairbanks Pictures'],5
False,923000,962,tt0015864,en,The Gold Rush,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.,6.202041,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1925-06-25,2500000.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Gold Rush,False,7.7,308.0,1925.0,1.7085590465872156,"['Adventure', 'Comedy', 'Drama']",['Charles Chaplin Productions'],3
False,750000,961,tt0017925,en,The General,"During America’s Civil War Union spies steal engineer Johnnie Gray's (Buster Keaton's) beloved locomotive The General and he single-handedly must do all in his power to get it back. Released throughout most of the world in 1927, this Silent comedy-action film flopped when originally released, but now is regarded as one of the great American motion pictures. The story is based on actual historic events.",8.002953,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1926-12-31,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The General,False,8.0,240.0,1926.0,-1.0,"['Action', 'Adventure', 'Comedy', 'Drama']","['Buster Keaton Productions', 'Joseph M. Schenck Productions']",4
False,92620000,19,tt0017136,de,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",14.487867,"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1927-01-10,650422.0,153.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,Metropolis,False,8.0,666.0,1927.0,-0.9929775210537681,"['Drama', 'Science Fiction']","['Paramount Pictures', 'Universum Film (UFA)']",2
False,12000,2760,tt0017075,en,The Lodger: A Story of the London Fog,A London landlady suspects her mysterious new lodger may be The Avenger who is killing blonde women.,9.299853,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1927-02-14,0.0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Lodger: A Story of the London Fog,False,7.2,49.0,1927.0,-1.0,"['Crime', 'Drama', 'Thriller']",['Carlyle Blackwell Productions'],3
False,2000000,28966,tt0018578,en,Wings,"Two young men, one rich, one middle class, both in love with the same woman (Jobyna Ralston), become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl (Clara Bow) who's the love struck lifelong next door neighbor of one of them, pines away.",8.545698,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1927-08-12,0.0,141.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Wings,False,7.0,59.0,1927.0,-1.0,"['Action', 'Drama', 'Romance', 'War']",['Paramount Famous Lasky Corporation'],4
False,9000000,28978,tt0018773,en,The Circus,"Charlie, a wandering tramp, becomes a circus handyman and falls in love with the circus owner's daughter. Unaware of Charlie's affection, the girl falls in love with a handsome young performer. Charlie's versatility makes him star of the show when he substitutes for an ailing tightwire walker. He is discharged from the company when he protects the girl from her father's abuse, but he returns and appeals to the handsome performer to marry the girl. After the wedding the father prevails upon them to rejoin the circus. Charlie is hired again, but he stays behind when the caravan moves on.",6.714813,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1928-01-06,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Circus,False,8.0,119.0,1928.0,-1.0,"['Comedy', 'Drama']",['Charles Chaplin Productions'],2
